t,ndyag,rogowsky,oscillator
5.89E-07,0.043478262,-3.5098815,0.011205534
5.90E-07,0.023715414,-3.6679842,0.011600791
5.90E-07,0.0039525693,-3.5889328,0.011007905
5.91E-07,0.023715414,-3.5098815,0.011304348
5.91E-07,0.043478262,-3.6679842,0.011699605
5.91E-07,0.0039525693,-3.5889328,0.011007905
5.92E-07,0.023715414,-3.5889328,0.011205534
5.92E-07,0.023715414,-3.5889328,0.011501976
5.93E-07,0.043478262,-3.7470355,0.011600791
5.93E-07,0.043478262,-3.6679842,0.011205534
5.93E-07,0.023715414,-3.43083,0.011205534
5.94E-07,0.023715414,-3.3517787,0.011403162
5.94E-07,0.0039525693,-3.6679842,0.011501976
5.95E-07,0.043478262,-3.5098815,0.011501976
5.95E-07,0.043478262,-3.5098815,0.010909091
5.95E-07,0.0039525693,-3.2727273,0.011106719
5.96E-07,0.063241109,-3.3517787,0.011304348
5.96E-07,0.023715414,-3.43083,0.011106719
5.97E-07,0.023715414,-3.5889328,0.011007905
5.97E-07,0.023715414,-3.5098815,0.010909091
5.97E-07,0.023715414,-3.3517787,0.011403162
5.98E-07,0.0039525693,-3.3517787,0.010810276
5.98E-07,0.043478262,-3.3517787,0.011106719
5.99E-07,0.043478262,-3.2727273,0.011007905
5.99E-07,0.023715414,-3.43083,0.011205534
5.99E-07,0.0039525693,-3.2727273,0.011403162
6.00E-07,0.0039525693,-3.2727273,0.010711462
6.00E-07,0.023715414,-3.2727273,0.011007905
6.01E-07,0.043478262,-3.2727273,0.010909091
6.01E-07,0.023715414,-3.43083,0.011106719
6.01E-07,0.023715414,-3.3517787,0.011007905
6.02E-07,0.043478262,-3.193676,0.011205534
6.02E-07,-0.015810277,-3.43083,0.011106719
6.03E-07,0.043478262,-3.2727273,0.011304348
6.03E-07,0.023715414,-3.43083,0.011106719
6.03E-07,0.023715414,-3.43083,0.010810276
6.04E-07,0.023715414,-3.2727273,0.011304348
6.04E-07,0.023715414,-3.3517787,0.011501976
6.05E-07,0.043478262,-3.43083,0.011600791
6.05E-07,0.043478262,-3.2727273,0.011106719
6.05E-07,0.023715414,-3.035573,0.011304348
6.06E-07,0.023715414,-3.193676,0.011403162
6.06E-07,0.043478262,-3.43083,0.011106719
6.07E-07,0.023715414,-3.2727273,0.011205534
6.07E-07,0.063241109,-3.2727273,0.011600791
6.07E-07,0.0039525693,-3.193676,0.011699605
6.08E-07,0.023715414,-3.193676,0.011501976
6.08E-07,0.023715414,-3.193676,0.010909091
6.09E-07,0.023715414,-3.193676,0.010810276
6.09E-07,0.0039525693,-3.193676,0.011403162
6.09E-07,0.023715414,-3.2727273,0.010711462
6.10E-07,0.0039525693,-3.193676,0.011007905
6.10E-07,0.0039525693,-3.1146245,0.011403162
6.11E-07,0.023715414,-3.193676,0.011403162
6.11E-07,0.023715414,-3.2727273,0.010909091
6.11E-07,0.023715414,-3.035573,0.010909091
6.12E-07,0.043478262,-3.193676,0.010810276
6.12E-07,0.043478262,-3.1146245,0.010810276
6.13E-07,0.023715414,-3.1146245,0.010810276
6.13E-07,0.023715414,-3.2727273,0.010810276
6.13E-07,0.063241109,-3.193676,0.010909091
6.14E-07,0.043478262,-3.2727273,0.010810276
6.14E-07,0.043478262,-3.1146245,0.010909091
6.15E-07,0.023715414,-3.193676,0.011304348
6.15E-07,0.043478262,-2.8774703,0.011106719
6.15E-07,0.023715414,-3.035573,0.010909091
6.16E-07,0.023715414,-2.9565217,0.011007905
6.16E-07,0.023715414,-3.1146245,0.010909091
6.17E-07,0.0039525693,-2.9565217,0.010810276
6.17E-07,0.043478262,-2.9565217,0.011106719
6.17E-07,0.023715414,-2.9565217,0.011106719
6.18E-07,0.0039525693,-2.8774703,0.010711462
6.18E-07,0.063241109,-3.1146245,0.011304348
6.19E-07,0.0039525693,-3.193676,0.010909091
6.19E-07,0.023715414,-2.798419,0.011304348
6.19E-07,0.043478262,-3.035573,0.011007905
6.20E-07,0.023715414,-3.035573,0.011205534
6.20E-07,-0.015810277,-2.8774703,0.011106719
6.21E-07,0.043478262,-3.035573,0.011501976
6.21E-07,0.023715414,-3.035573,0.011007905
6.21E-07,0.043478262,-2.8774703,0.010612648
6.22E-07,0.023715414,-3.035573,0.010909091
6.22E-07,0.063241109,-2.9565217,0.011007905
6.23E-07,-0.015810277,-3.193676,0.010612648
6.23E-07,0.043478262,-3.035573,0.011007905
6.23E-07,0.083003953,-2.8774703,0.011007905
6.24E-07,0.043478262,-2.7193675,0.011106719
6.24E-07,0.043478262,-2.9565217,0.011304348
6.25E-07,0.023715414,-2.9565217,0.011106719
6.25E-07,0.043478262,-2.9565217,0.010810276
6.25E-07,0.023715414,-2.798419,0.011007905
6.26E-07,0.0039525693,-2.9565217,0.011007905
6.26E-07,0.043478262,-2.798419,0.011007905
6.27E-07,0.043478262,-2.8774703,0.011403162
6.27E-07,0.043478262,-2.798419,0.011106719
6.27E-07,0.023715414,-2.798419,0.011106719
6.28E-07,0.023715414,-2.6403162,0.011106719
6.28E-07,0.043478262,-2.7193675,0.011403162
6.29E-07,0.063241109,-2.8774703,0.011106719
6.29E-07,0.023715414,-2.798419,0.010810276
6.29E-07,0.043478262,-2.8774703,0.010612648
6.30E-07,0.023715414,-2.6403162,0.010217391
6.30E-07,0.063241109,-2.7193675,0.011205534
6.31E-07,0.043478262,-2.7193675,0.011007905
6.31E-07,-0.015810277,-2.798419,0.010909091
6.31E-07,0.043478262,-2.798419,0.010513834
6.32E-07,0.023715414,-2.6403162,0.010810276
6.32E-07,0.043478262,-2.6403162,0.010612648
6.33E-07,0.023715414,-2.6403162,0.010612648
6.33E-07,0.023715414,-2.6403162,0.010612648
6.33E-07,0.0039525693,-2.6403162,0.010612648
6.34E-07,0.063241109,-2.6403162,0.010909091
6.34E-07,0.063241109,-2.6403162,0.010612648
6.35E-07,0.043478262,-2.798419,0.010513834
6.35E-07,-0.015810277,-2.5612648,0.010513834
6.35E-07,0.083003953,-2.6403162,0.010810276
6.36E-07,0.043478262,-2.7193675,0.010810276
6.36E-07,0.0039525693,-3.035573,0.0099209482
6.37E-07,0.063241109,-2.6403162,0.010612648
6.37E-07,0.0039525693,-2.5612648,0.010513834
6.37E-07,0.023715414,-2.7193675,0.010612648
6.38E-07,0.0039525693,-2.6403162,0.010711462
6.38E-07,0.1027668,-2.6403162,0.010810276
6.39E-07,0.043478262,-2.6403162,0.010316205
6.39E-07,0.063241109,-2.6403162,0.010513834
6.39E-07,0.083003953,-2.4822135,0.010612648
6.40E-07,0.023715414,-2.6403162,0.010612648
6.40E-07,0.023715414,-2.6403162,0.010711462
6.41E-07,0.043478262,-2.6403162,0.010513834
6.41E-07,0.043478262,-2.5612648,0.010513834
6.41E-07,0.043478262,-2.6403162,0.010711462
6.42E-07,0.063241109,-2.4822135,0.010810276
