t,ndyag,d01,d02,d03,d04,d05,d06,d07,d08,d09
5.77548774387193e-07,0.031573945,-1.9022974,-1.7441946,-1.7973073,-1.9554101,-1.9022974,-1.7973073,-1.9554101,-1.7973073,-1.9022974
5.78149074537269e-07,0.023208726,-1.9022974,-1.8498024,-1.6916996,-1.8498024,-1.8498024,-1.9022974,-1.9022974,-2.0604002,-1.8498024
5.78749374687344e-07,0.023208726,-2.0079052,-1.8498024,-1.8498024,-1.7973073,-1.8498024,-1.8498024,-1.8498024,-2.0604002,-1.9022974
5.79349674837419e-07,0.014940688,-1.9022974,-1.8498024,-1.9554101,-1.8498024,-1.9022974,-1.9554101,-1.7441946,-1.7973073,-1.9554101
5.79949974987494e-07,0.039841908,-1.7973073,-1.7441946,-1.5860919,-1.7973073,-1.7973073,-1.7973073,-2.0604002,-2.0079052,-1.8498024
5.80550275137569e-07,0.006672724,-1.7973073,-1.8498024,-1.9554101,-1.9022974,-1.7973073,-1.8498024,-1.7441946,-1.7973073,-1.9022974
5.81150575287644e-07,0.006672724,-1.7973073,-1.7973073,-1.7973073,-1.7441946,-1.9554101,-1.7441946,-1.7441946,-1.9022974,-1.8498024
5.81750875437719e-07,0.014940688,-1.8498024,-1.7973073,-1.7441946,-1.7973073,-1.7441946,-1.6916996,-1.9022974,-1.7973073,-1.7973073
5.82351175587794e-07,0.014940688,-1.8498024,-1.8498024,-1.7441946,-1.9022974,-1.7441946,-1.8498024,-1.7973073,-1.9022974,-1.8498024
5.82951475737869e-07,0.023208726,-1.9022974,-1.7973073,-1.7973073,-1.7973073,-1.8498024,-1.7441946,-1.9022974,-1.8498024,-1.8498024
5.83551775887944e-07,0.023208726,-1.9022974,-1.5860919,-1.7441946,-1.6392045,-1.9022974,-1.7441946,-1.7973073,-1.8498024,-1.7973073
5.84152076038019e-07,0.023208726,-1.7973073,-1.7973073,-1.7441946,-1.5860919,-1.8498024,-1.7973073,-1.7441946,-1.9554101,-1.9554101
5.84752376188094e-07,0.014940688,-1.7973073,-1.7973073,-1.6392045,-1.7973073,-1.7973073,-1.8498024,-1.7973073,-2.0079052,-1.5860919
5.85352676338169e-07,0.023208726,-1.9022974,-1.7973073,-1.8498024,-1.6916996,-1.7973073,-1.7441946,-1.8498024,-1.8498024,-1.6392045
5.85952976488244e-07,0.014940688,-1.8498024,-1.8498024,-1.7441946,-1.7441946,-2.0079052,-1.6916996,-1.8498024,-1.8498024,-1.6392045
5.86553276638319e-07,0.023208726,-1.7973073,-1.9022974,-1.7973073,-1.7973073,-2.0079052,-1.7441946,-1.7973073,-1.8498024,-1.7973073
5.87153576788394e-07,0.023208726,-1.6916996,-1.6392045,-1.6916996,-1.8498024,-1.6916996,-1.7973073,-1.9554101,-1.7973073,-1.7973073
5.87753876938469e-07,0.014940688,-1.6916996,-1.7973073,-1.5860919,-1.9022974,-1.9022974,-1.7973073,-1.7441946,-1.9022974,-1.7973073
5.88354177088544e-07,0.023208726,-1.9554101,-1.6392045,-1.8498024,-1.6916996,-1.7441946,-1.7973073,-1.7973073,-1.6916996,-1.7973073
5.88954477238619e-07,0.023208726,-1.6392045,-1.7441946,-1.7441946,-1.6916996,-1.8498024,-1.7441946,-1.7973073,-1.9022974,-1.8498024
