x,N_e
531,0.3404654523
532,0.3324368923
533,0.3191613843
534,0.3072441193
535,0.3690427588
536,0.3226374622
537,0.2915110905
538,0.2758307518
539,0.2842570196
540,0.3952309305
541,0.3694018404
542,0.3391256089
543,0.324211481
544,0.3343805559
545,0.3064291325
546,0.3396219723
547,0.3153647535
548,0.2812780418
549,0.3195562381
550,0.3510753049
551,0.3046198734
552,0.3094517343
553,0.3262723226
554,0.353495143
555,0.4208518426
556,0.3758031406
557,0.3537129457
558,0.373841971
559,0.3566686003
560,0.3241192606
561,0.3006336558
562,0.3106961371
563,0.3473765615
564,0.4041273076
565,0.4231944302
566,0.429165163
567,0.3563840511
568,0.3539488104
569,0.3739771621
570,0.2946422587
571,0.2829903293
572,0.3501913583
573,0.3338632108
574,0.2881733108
575,0.3376964388
576,0.3597452676
577,0.3212017015
578,0.2816398205
579,0.3095970991
580,0.2888618475
581,0.312296425
582,0.3502594092
583,0.3621719282
584,0.2999867371
585,0.3202025736
586,0.3677881884
587,0.3368871394
588,0.3520650555
589,0.3050622348
590,0.3238661005
591,0.3159679116
592,0.3196767346
593,0.3339008297
594,0.3663463349
595,0.3297951875
596,0.332040335
597,0.3541790918
598,0.3063643547
599,0.3707008107
600,0.3180239858
601,0.278430638
602,0.2699176186
603,0.341131619
604,0.3979132497
605,0.389388787
606,0.351290444
607,0.3038489192
608,0.3184273234
609,0.3442052661
610,0.3803707819
611,0.3668971521
612,0.3542288173
613,0.3564866019
614,0.3259180575
615,0.3131550232
616,0.2964395807
617,0.3277043781
618,0.2952641543
619,0.2699737723
620,0.3146110103
621,0.3422800755
622,0.3516009646
623,0.3170887596
624,0.3369721915
625,0.3407790039
626,0.2819105293
627,0.3250453303
628,0.3486770515
629,0.3311278059
630,0.3464988306
631,0.306760569
632,0.3160436447
633,0.3223502448
634,0.3290149644
635,0.3546566476
636,0.3271471489
637,0.3126532266
638,0.3848902821
639,0.340460742
640,0.318663808
641,0.2848599298
642,0.3139281703
643,0.331360763
644,0.2799301612
645,0.3120974103
646,0.3219446091
647,0.2895190899
648,0.3104451061
649,0.2674026056
650,0.2906251539
651,0.2686883132
652,0.2912829423
653,0.2569954629
654,0.3413434224
655,0.3374307899
656,0.3051080875
657,0.3024464249
658,0.3129208007
659,0.2854115831
660,0.2765199581
661,0.3008463845
662,0.2993138484
663,0.2821542317
664,0.3134571053
665,0.2871979022
666,0.3228998669
667,0.3054465269
668,0.2950476099
669,0.3029507165
670,0.456643074
671,0.3760273308
672,0.3833414695
673,0.3656131855
674,0.3468581261
675,0.3708056222
676,0.3986710446
677,0.3446982688
678,0.3481178138
679,0.451930197
680,0.3757553549
681,0.3368698528
682,0.3748930339
683,0.342726513
684,0.3066623811
685,0.3547259797
686,0.3399901151
687,0.4819917771
688,0.452003603
689,0.3218318275
690,0.295908309
691,0.3224247144
692,0.2915875193
693,0.2708208716
694,0.2905572572
695,0.3561226279
696,0.3453428677
697,0.3187607843
698,0.3500254324
699,0.3673801429
700,0.3237603168
701,0.3448825395
702,0.358928069
703,0.3821791025
704,0.3821163828
705,0.3680142803
706,0.2793879948
707,0.2485415504
708,0.3027291268
709,0.3057835925
710,0.3664257845
711,0.367980906
712,0.3602174244
713,0.3884115477
714,0.3725564805
715,0.3166405386
716,0.3009425208
717,0.3840447003
718,0.3725073839
719,0.3622982494
720,0.3811635286
721,0.3481127546
722,0.3903799062
723,0.3535772974
724,0.3929270509
725,0.3518459215
726,0.2899895283
727,0.3169137384
728,0.3358019151
729,0.3092179686
730,0.3641937006
731,0.3422524247
732,0.2948850776
733,0.2947612331
734,0.2936240407
735,0.3248669223
736,0.3415031097
737,0.347227466
738,0.3330017045
739,0.3728751005
740,0.3739305719
741,0.3798897734
742,0.3547503446
743,0.3780458326
744,0.3166323431
745,0.3620008101
746,0.4006813354
747,0.346910866
748,0.351636093
749,0.3593185109
750,0.3029607794
751,0.352866656
752,0.3384716022
753,0.3278039203
754,0.3319690199
755,0.3159187445
756,0.288094605
757,0.2950751288
758,0.3702403978
759,0.3589866766
760,0.4161279441
761,0.4130361274
762,0.3580113247
763,0.3654826711
764,0.395274276
765,0.3575906581
766,0.3342065305
767,0.3678133211
768,0.3971743612
769,0.3500827498
770,0.3567965502
771,0.3154747554
772,0.3317061212
773,0.3009822792
774,0.3155048674
775,0.2867002187
776,0.2854040608
777,0.3490661626
778,0.3585517911
779,0.3561108764
780,0.2900497214
781,0.3149523817
782,0.3122008667
783,0.2735739943
784,0.3378080483
785,0.3471641579
786,0.2933545557
787,0.3073273601
788,0.3440013159
789,0.4073825088
790,0.3221787737
791,0.3296834691
792,0.3135575426
793,0.3164357483
794,0.3277698097
795,0.3272141328
796,0.3546629076
797,0.3177980657
798,0.2988207057
799,0.3188893031
800,0.3634992132
801,0.3191738828
802,0.3292548156
803,0.3549344825
804,0.2971964867
805,0.2915213512
806,0.2674020873
807,0.2983074469
808,0.3075347036
809,0.3317027132
810,0.3199770283
811,0.3208301457
812,0.3075391127
813,0.3116002738
814,0.2940505117
815,0.2819634132
816,0.2909966344
817,0.2759951919
818,0.3046651403
819,0.3385837726
820,0.3327933077
821,0.3225712572
