t,ndyag,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,d11,d12
-9.00E-08,0.00667272438,-0.0290514,-0.0013293,-0.0290514,-0.0290514,-0.0428313375,-0.0013293,-0.0428313375,-0.056773374,-0.0290514,-0.0013293,-0.0013293,-0.0290514
-8.94E-08,0.03157394499,-0.0013293,-0.0013293,0.026230575,-0.0428313375,-0.0152714625,-0.0013293,0.04017258,-0.0152714625,-0.0152714625,-0.0428313375,-0.056773374,-0.0152714625
-8.88E-08,0.01494068751,-0.0013293,-0.0428313375,0.026230575,-0.0152714625,-0.0428313375,-0.0013293,0.012450585,-0.0152714625,-0.056773374,-0.0290514,-0.0290514,-0.0290514
-8.82E-08,0.00667272438,-0.0013293,0.012450585,-0.0290514,0.012450585,-0.0290514,-0.0013293,-0.0013293,0.012450585,0.026230575,-0.0152714625,-0.0152714625,-0.0013293
-8.76E-08,0.00667272438,0.012450585,-0.0428313375,0.012450585,-0.0290514,-0.0428313375,-0.0013293,-0.0290514,-0.0013293,-0.0290514,-0.0013293,-0.0290514,-0.0290514
-8.70E-08,0.01494068751,0.012450585,-0.0152714625,-0.056773374,-0.0152714625,0.012450585,-0.0152714625,-0.0290514,-0.0290514,0.012450585,-0.0290514,-0.0152714625,-0.0290514
-8.64E-08,0.01494068751,-0.0428313375,-0.0152714625,-0.0428313375,-0.0290514,0.026230575,-0.0152714625,-0.056773374,0.012450585,0.012450585,0.012450585,0.012450585,-0.0013293
-8.58E-08,0.00667272438,-0.0290514,0.012450585,0.026230575,-0.0290514,0.012450585,-0.0013293,-0.0428313375,-0.0013293,-0.0013293,-0.0152714625,-0.0152714625,-0.0152714625
-8.52E-08,0.03157394499,-0.0290514,-0.0152714625,-0.0013293,-0.0428313375,-0.0152714625,-0.0290514,0.012450585,0.026230575,-0.0013293,-0.0152714625,-0.0152714625,-0.0013293
-8.46E-08,0.03984190812,-0.0152714625,-0.0152714625,-0.0290514,-0.0152714625,-0.0428313375,-0.0013293,-0.0013293,-0.0013293,0.012450585,-0.056773374,-0.0013293,-0.0013293
-8.40E-08,0.03157394499,-0.0013293,-0.056773374,-0.0290514,-0.0290514,0.012450585,0.012450585,-0.0013293,-0.0013293,-0.0013293,-0.0152714625,-0.0290514,0.012450585
-8.34E-08,0.00667272438,-0.056773374,-0.0013293,-0.0290514,-0.0013293,-0.0428313375,-0.0152714625,-0.0013293,-0.0013293,0.012450585,0.012450585,-0.0013293,-0.0428313375
-8.28E-08,0.03157394499,-0.0152714625,-0.0013293,-0.0013293,-0.0013293,-0.0013293,-0.0152714625,0.012450585,-0.0013293,-0.0152714625,0.012450585,-0.0152714625,0.026230575
-8.22E-08,0.01494068751,0.04017258,-0.0428313375,-0.056773374,-0.0152714625,-0.0290514,0.012450585,-0.0152714625,-0.0013293,-0.0152714625,0.012450585,-0.0152714625,-0.0290514
-8.16E-08,-0.001692495315,-0.0152714625,-0.056773374,-0.0428313375,-0.0013293,-0.0428313375,0.026230575,0.012450585,-0.0152714625,-0.0290514,-0.0290514,-0.0152714625,0.05395257
-8.10E-08,0.01494068751,-0.0428313375,-0.0290514,-0.0428313375,-0.0013293,0.026230575,-0.056773374,-0.0013293,-0.0013293,-0.0013293,0.012450585,-0.0152714625,0.026230575
-8.04E-08,0.01494068751,-0.0152714625,-0.0152714625,-0.0428313375,-0.0152714625,0.026230575,-0.0013293,-0.0013293,-0.0152714625,-0.0152714625,-0.0428313375,-0.0152714625,-0.0290514
-7.98E-08,0.02320872561,-0.0428313375,0.04017258,-0.0290514,-0.0428313375,-0.0290514,-0.0290514,-0.0013293,-0.084333249,-0.0152714625,0.012450585,-0.0013293,-0.0013293
-7.92E-08,0.02320872561,-0.0428313375,-0.0013293,-0.0013293,-0.0290514,0.026230575,-0.0152714625,-0.0152714625,-0.0290514,-0.0013293,-0.0013293,-0.0152714625,-0.0152714625
-7.86E-08,0.01494068751,-0.0152714625,-0.0152714625,-0.0290514,-0.0290514,-0.0152714625,0.012450585,0.04017258,-0.0290514,-0.0290514,0.026230575,-0.0013293,-0.0013293
-7.80E-08,0.02320872561,-0.0013293,-0.0013293,0.012450585,-0.0013293,0.04017258,0.026230575,-0.0705533115,-0.0428313375,-0.0013293,-0.0152714625,-0.0290514,-0.0152714625
-7.74E-08,0.00667272438,-0.0013293,-0.0290514,-0.0290514,-0.0290514,-0.0290514,-0.0013293,-0.0013293,-0.0152714625,0.04017258,-0.056773374,-0.0428313375,0.012450585
-7.68E-08,0.02320872561,-0.0013293,-0.056773374,0.012450585,-0.0152714625,0.012450585,0.012450585,-0.0290514,-0.0152714625,-0.0152714625,-0.0152714625,-0.0152714625,-0.0152714625
-7.62E-08,0.00667272438,-0.0290514,-0.0428313375,-0.0152714625,-0.0428313375,-0.0152714625,-0.0152714625,-0.0428313375,-0.0428313375,0.012450585,-0.0013293,0.026230575,-0.0152714625
